student_id,academic_year,major,facility_rated,satisfaction_score,timestamp
60,1st,ME,Sports,2,2023-12-17
61,3rd,ECE,Library,3,2023-09-30
62,1st,CE,Cafeteria,2,2023-03-20
63,2nd,ECE,Sports,2,2023-06-18
64,2nd,IT,Cafeteria,3,2023-12-11
65,3rd,ECE,Cafeteria,1,2023-11-22
66,3rd,ECE,Library,2,2023-12-30
67,1st,ME,Cafeteria,4,2023-07-01
68,4th,CSE,Sports,1,2023-04-18
69,3rd,IT,Cafeteria,5,2023-11-04
70,2nd,ECE,Sports,3,2023-10-27
71,4th,CSE,Cafeteria,2,2023-04-30
72,4th,IT,Sports,3,2023-05-29
73,1st,IT,Cafeteria,5,2023-10-05
74,3rd,CSE,Library,4,2023-09-25
75,4th,ME,Cafeteria,1,2023-03-07
76,3rd,ECE,Cafeteria,3,2023-10-09
77,1st,ECE,Cafeteria,4,2023-06-27
78,3rd,IT,Sports,5,2023-12-05
79,2nd,IT,Cafeteria,5,2023-02-07
80,4th,CSE,Library,2,2023-03-15
81,2nd,CE,Library,4,2023-12-06
82,1st,CSE,Sports,1,2023-02-12
83,1st,ME,Library,1,2023-06-23
84,1st,CSE,Cafeteria,1,2023-09-12
85,2nd,ECE,Library,5,2023-07-06
86,4th,IT,Library,1,2023-11-08
87,1st,CSE,Sports,5,2023-10-04
88,2nd,ECE,Library,3,2023-08-06
89,1st,ECE,Cafeteria,3,2023-04-23
90,2nd,ME,Cafeteria,2,2023-03-22
91,3rd,CSE,Library,2,2023-03-19
92,4th,ME,Cafeteria,1,2023-07-23
93,3rd,CE,Library,3,2023-05-13
94,3rd,ME,Cafeteria,1,2023-09-20
95,4th,CSE,Cafeteria,4,2023-04-09
96,4th,IT,Sports,1,2023-04-20
97,4th,ECE,Cafeteria,1,2023-06-16
98,4th,ECE,Sports,2,2023-09-21
99,1st,ECE,Cafeteria,5,2023-02-09
100,1st,IT,Cafeteria,1,2023-03-17
101,1st,CE,Library,4,2023-08-12
102,2nd,ECE,Cafeteria,4,2023-09-25
103,1st,CSE,Sports,2,2023-03-27
104,2nd,ECE,Sports,1,2023-02-15
105,4th,ECE,Cafeteria,1,2023-10-27
106,3rd,CSE,Sports,2,2023-09-08
107,4th,CSE,Cafeteria,4,2023-08-14
108,2nd,IT,Sports,1,2023-03-03
109,2nd,ME,Sports,1,2023-11-21
110,2nd,ME,Library,1,2023-01-27
111,4th,ME,Cafeteria,2,2023-11-06
112,4th,IT,Library,3,2023-08-02
113,1st,CSE,Library,2,2023-09-21
114,1st,CSE,Sports,3,2023-12-17
115,3rd,CE,Library,2,2023-02-14
116,3rd,CSE,Cafeteria,4,2023-06-30
117,4th,CSE,Sports,4,2023-10-11
118,3rd,ME,Sports,3,2023-08-04
119,3rd,ECE,Library,2,2023-01-26
120,2nd,CE,Sports,1,2023-02-06
121,1st,IT,Sports,3,2023-04-08
122,3rd,IT,Sports,5,2024-01-01
123,3rd,CE,Library,3,2023-08-04
124,1st,CSE,Cafeteria,3,2023-09-15
125,1st,IT,Library,1,2023-05-30
126,1st,ECE,Library,3,2023-08-14
127,3rd,CE,Sports,1,2023-05-29
128,3rd,CSE,Cafeteria,4,2023-11-13
129,4th,ECE,Library,5,2023-02-11
130,4th,CE,Sports,2,2023-10-23
131,1st,ME,Sports,5,2023-08-10
132,4th,ME,Cafeteria,3,2023-10-19
133,4th,CE,Library,4,2023-09-10
134,4th,IT,Library,2,2023-06-13
135,3rd,CSE,Cafeteria,4,2023-01-05
136,1st,CSE,Sports,4,2023-05-17
137,3rd,CE,Sports,4,2023-06-29
138,2nd,ECE,Sports,5,2023-04-02
139,2nd,ME,Sports,5,2023-07-23
140,4th,CE,Cafeteria,3,2023-04-19
141,1st,IT,Cafeteria,5,2023-06-17
142,3rd,ME,Library,5,2023-10-11
143,3rd,ECE,Cafeteria,3,2023-12-12
144,1st,CE,Library,1,2023-12-07
145,3rd,CE,Library,4,2023-07-17
146,3rd,CSE,Library,3,2023-06-04
147,2nd,CE,Sports,2,2023-09-18
148,1st,ME,Sports,5,2023-10-19
149,3rd,IT,Sports,5,2023-02-08
150,1st,ECE,Sports,2,2023-01-06
151,1st,CE,Library,5,2023-04-22
152,2nd,CE,Library,5,2023-09-07
153,1st,ME,Sports,3,2023-10-09
154,4th,IT,Sports,2,2023-08-21
155,2nd,CE,Library,4,2023-11-02
156,4th,ECE,Cafeteria,5,2023-03-14
157,3rd,IT,Cafeteria,1,2023-09-09
158,3rd,IT,Library,2,2023-08-05
159,4th,ECE,Library,2,2023-03-09
160,1st,ECE,Cafeteria,4,2023-04-25
161,1st,IT,Library,4,2023-04-22
162,1st,ECE,Sports,4,2023-12-21
163,1st,CE,Library,2,2023-10-20
164,4th,CSE,Sports,5,2023-07-28
165,2nd,ECE,Library,4,2023-10-02
166,1st,CSE,Cafeteria,2,2023-03-15
167,3rd,ECE,Sports,2,2023-08-24
168,1st,ECE,Sports,1,2023-01-22
169,2nd,CE,Sports,3,2023-04-05
170,3rd,CSE,Cafeteria,1,2023-07-18
171,1st,ME,Cafeteria,1,2023-06-14
172,2nd,IT,Cafeteria,5,2023-04-02
173,3rd,ECE,Cafeteria,5,2023-12-01
174,1st,ME,Library,4,2023-12-17
175,1st,ME,Library,2,2023-09-01
176,2nd,ECE,Cafeteria,3,2023-09-12
177,1st,IT,Cafeteria,3,2023-06-27
178,4th,ME,Sports,1,2023-03-04
179,3rd,CE,Library,2,2023-12-16
180,4th,IT,Library,3,2023-03-06
181,3rd,ECE,Library,3,2023-09-30
182,4th,CSE,Library,1,2023-12-24
183,2nd,CE,Library,1,2023-04-16
184,3rd,CSE,Sports,1,2023-02-27
185,2nd,ME,Cafeteria,3,2023-04-05
186,3rd,IT,Sports,5,2023-09-14
187,1st,ME,Cafeteria,2,2023-01-24
188,2nd,IT,Library,2,2023-09-13
189,3rd,CSE,Sports,2,2023-03-01
190,1st,CSE,Sports,1,2023-01-12
191,2nd,IT,Library,3,2023-08-23
192,3rd,CSE,Sports,1,2023-10-19
193,3rd,ME,Library,3,2023-09-21
194,2nd,IT,Sports,4,2023-12-12
195,4th,ME,Sports,5,2023-07-25
196,1st,CE,Sports,5,2023-03-04
197,4th,CSE,Sports,2,2023-04-24
198,3rd,ME,Library,5,2023-12-20
199,1st,CE,Library,1,2023-05-24
200,4th,IT,Sports,4,2023-10-21
201,1st,ME,Cafeteria,5,2023-05-04
202,3rd,CE,Sports,2,2023-04-10
203,2nd,IT,Cafeteria,5,2023-02-09
204,1st,ME,Library,4,2023-02-19
205,1st,CSE,Library,4,2023-02-13
206,1st,ME,Sports,2,2023-01-23
207,4th,CE,Library,2,2023-07-04
208,3rd,ECE,Cafeteria,1,2023-02-04
209,2nd,CSE,Sports,2,2023-07-22
210,1st,ME,Sports,4,2023-02-23
211,4th,ECE,Sports,4,2023-05-20
212,2nd,CE,Sports,1,2023-06-23
213,1st,ME,Sports,2,2023-10-30
214,3rd,ECE,Sports,5,2023-05-09
215,4th,CSE,Library,1,2023-04-25
216,1st,CSE,Sports,4,2023-03-18
217,4th,IT,Library,2,2023-11-17
218,2nd,CE,Cafeteria,5,2023-11-02
219,4th,CSE,Library,2,2023-05-08
220,4th,CSE,Library,3,2023-09-14
221,2nd,ME,Library,4,2023-05-16
222,1st,ECE,Cafeteria,4,2023-09-23
223,1st,CSE,Library,4,2023-08-25
224,2nd,ECE,Sports,5,2023-11-21
225,1st,ME,Sports,4,2023-12-26
226,4th,CSE,Sports,5,2023-10-17
227,3rd,ECE,Sports,4,2023-03-10
228,3rd,CE,Sports,4,2023-08-09
229,2nd,IT,Cafeteria,5,2023-10-26
230,1st,CE,Sports,4,2023-12-25
231,4th,CE,Sports,1,2023-01-28
232,4th,CSE,Cafeteria,3,2023-11-22
233,2nd,ECE,Cafeteria,1,2023-05-04
234,2nd,IT,Cafeteria,2,2023-09-17
235,3rd,ME,Library,4,2023-02-23
236,3rd,CE,Library,3,2023-09-10
237,4th,ME,Cafeteria,4,2023-01-08
238,2nd,ECE,Library,2,2023-05-19
239,2nd,ECE,Cafeteria,3,2023-04-19
240,1st,CE,Cafeteria,2,2023-12-17
241,2nd,IT,Cafeteria,3,2023-08-13
242,3rd,CSE,Cafeteria,5,2023-11-06
243,1st,CE,Sports,4,2023-10-23
244,4th,IT,Cafeteria,4,2023-03-31
245,3rd,CE,Sports,5,2023-01-05
246,2nd,CE,Library,1,2023-02-11
247,1st,IT,Library,5,2023-05-03
248,4th,CSE,Cafeteria,4,2023-07-05
249,1st,ECE,Cafeteria,1,2023-10-23
250,4th,CE,Library,1,2023-12-14
251,4th,IT,Cafeteria,2,2023-11-07
252,4th,IT,Library,3,2023-10-07
253,4th,ECE,Cafeteria,1,2023-06-19
254,1st,ECE,Sports,2,2023-06-26
255,3rd,CE,Library,2,2023-09-23
256,3rd,ECE,Library,1,2023-08-02
257,2nd,CE,Cafeteria,4,2023-09-30
258,3rd,ME,Sports,5,2023-02-20
259,3rd,ME,Cafeteria,4,2024-01-01
260,4th,CSE,Library,1,2023-09-03
261,2nd,CE,Library,1,2023-08-19
262,4th,CE,Cafeteria,5,2023-01-13
263,1st,CE,Library,3,2023-01-07
264,3rd,IT,Library,2,2023-03-08
265,3rd,IT,Sports,4,2023-07-12
266,1st,ME,Library,2,2023-08-27
267,4th,CE,Library,1,2023-06-21
268,4th,IT,Cafeteria,5,2023-03-02
269,3rd,ECE,Cafeteria,5,2023-09-30
270,2nd,ME,Library,3,2023-12-15
271,4th,ME,Cafeteria,4,2023-03-16
272,1st,IT,Library,3,2023-03-06
273,2nd,ME,Library,4,2023-12-26
274,1st,ME,Library,2,2023-12-02
275,4th,CE,Cafeteria,5,2023-12-22
276,1st,ECE,Cafeteria,1,2023-03-24
277,3rd,CE,Sports,2,2023-07-18
278,2nd,IT,Library,1,2023-04-27
279,2nd,CSE,Library,3,2023-03-24
280,4th,IT,Library,1,2023-09-18
281,1st,IT,Library,4,2023-01-14
282,2nd,CSE,Cafeteria,4,2023-07-20
283,4th,ECE,Library,2,2023-05-05
284,3rd,ME,Library,4,2023-10-07
285,4th,CE,Cafeteria,5,2023-01-29
286,1st,CSE,Cafeteria,3,2023-05-07
287,1st,CSE,Cafeteria,2,2023-01-25
288,4th,CE,Sports,4,2023-11-30
289,4th,CE,Library,4,2023-04-26
290,4th,CE,Library,2,2023-02-07
291,3rd,ME,Library,3,2023-10-03
292,2nd,CE,Cafeteria,4,2023-07-22
293,4th,ECE,Library,2,2023-12-10
294,2nd,IT,Library,5,2023-12-13
295,3rd,CSE,Sports,3,2023-06-19
296,3rd,CSE,Library,3,2023-05-01
297,3rd,CE,Sports,4,2023-04-03
298,3rd,ME,Sports,3,2023-02-08
299,1st,CSE,Library,4,2023-01-06
300,1st,CSE,Sports,5,2023-03-26
301,4th,ME,Sports,1,2023-04-20
302,3rd,CE,Library,3,2023-12-23
303,4th,CSE,Sports,1,2023-01-03
304,1st,IT,Library,2,2023-03-17
305,3rd,IT,Library,5,2023-11-27
306,3rd,CSE,Sports,3,2023-04-18
307,4th,ECE,Library,2,2023-10-25
308,2nd,IT,Library,5,2023-05-02
309,3rd,ME,Library,1,2023-06-02
310,1st,CSE,Sports,5,2023-08-16
311,2nd,CE,Sports,4,2023-08-31
312,2nd,CSE,Cafeteria,1,2023-04-04
313,4th,ECE,Cafeteria,3,2023-06-06
314,1st,ME,Sports,4,2023-11-12
315,4th,CSE,Library,3,2023-11-30
316,3rd,ME,Library,1,2023-06-02
317,2nd,ECE,Sports,5,2023-05-27
318,3rd,ECE,Cafeteria,5,2023-11-16
319,2nd,IT,Sports,2,2023-02-05
320,4th,ME,Library,4,2023-01-16
321,3rd,ECE,Sports,4,2023-08-12
322,3rd,ME,Library,3,2023-10-31
323,3rd,ME,Sports,5,2023-03-30
324,3rd,IT,Sports,3,2023-07-25
325,2nd,IT,Sports,3,2023-07-09
326,3rd,CE,Sports,4,2023-05-30
327,4th,CSE,Sports,4,2023-02-26
328,1st,CSE,Library,2,2023-09-06
329,2nd,ECE,Cafeteria,4,2023-03-01
330,4th,CSE,Sports,5,2023-12-28
331,3rd,ECE,Sports,4,2023-06-13
332,3rd,CE,Library,4,2023-01-31
333,4th,IT,Sports,3,2023-07-21
334,3rd,ME,Sports,5,2023-03-14
335,3rd,CSE,Library,1,2023-08-07
336,1st,ECE,Cafeteria,1,2023-05-13
337,1st,ME,Sports,2,2023-06-10
338,4th,ME,Sports,1,2023-03-11
339,3rd,ME,Sports,1,2023-02-14
340,2nd,CE,Cafeteria,5,2023-10-23
341,3rd,CSE,Library,2,2023-10-18
342,3rd,CE,Library,3,2023-08-07
343,3rd,CE,Sports,1,2023-04-22
344,3rd,CE,Library,3,2023-10-01
345,4th,ECE,Library,1,2023-12-11
346,4th,CE,Sports,4,2023-04-01
347,4th,IT,Sports,4,2023-10-03
348,1st,IT,Library,5,2023-08-15
349,3rd,ECE,Cafeteria,2,2023-06-02
350,4th,ECE,Library,5,2023-03-31
351,3rd,CSE,Sports,4,2023-12-27
352,3rd,ECE,Cafeteria,1,2023-01-08
353,1st,CE,Sports,3,2023-08-22
354,4th,ECE,Cafeteria,2,2023-05-04
355,1st,CE,Library,3,2023-06-15
356,3rd,IT,Library,1,2023-12-20
357,2nd,IT,Library,4,2023-01-29
358,3rd,ME,Library,4,2023-08-02
359,3rd,CE,Sports,5,2023-05-21
360,2nd,ME,Cafeteria,5,2023-09-10
361,2nd,CE,Cafeteria,4,2023-06-29
362,4th,CE,Sports,1,2023-12-22
363,3rd,IT,Sports,4,2023-09-22
364,1st,CE,Sports,5,2023-09-23
365,1st,CSE,Sports,1,2023-10-31
366,2nd,ECE,Library,2,2023-10-06
367,1st,CSE,Sports,1,2023-04-19
368,1st,ME,Cafeteria,4,2023-02-05
369,3rd,IT,Library,2,2023-08-07
370,3rd,CE,Cafeteria,2,2023-11-24
371,1st,IT,Cafeteria,1,2023-01-11
372,2nd,ECE,Cafeteria,3,2023-08-17
373,3rd,CE,Cafeteria,1,2023-05-15
374,3rd,CE,Library,1,2023-05-28
375,4th,ME,Cafeteria,2,2023-09-20
376,2nd,CSE,Sports,1,2023-08-11
377,4th,ECE,Library,4,2023-11-26
378,1st,IT,Library,1,2023-05-16
379,4th,ECE,Sports,4,2023-06-14
380,3rd,IT,Sports,1,2023-11-10
381,3rd,IT,Library,1,2023-03-01
382,4th,ME,Cafeteria,1,2023-01-09
383,2nd,ECE,Library,4,2023-01-06
384,4th,IT,Library,5,2023-04-28
385,1st,IT,Library,5,2023-09-20
386,3rd,IT,Sports,3,2023-08-21
387,4th,IT,Cafeteria,1,2023-07-11
388,2nd,ME,Library,4,2023-04-22
389,2nd,CE,Cafeteria,2,2023-04-13
390,1st,CSE,Sports,3,2023-11-11
391,4th,CSE,Library,5,2023-06-25
392,3rd,ME,Cafeteria,4,2023-09-07
393,1st,ECE,Cafeteria,2,2023-11-15
394,1st,ECE,Library,4,2023-06-24
395,2nd,CSE,Sports,1,2023-02-04
396,1st,CE,Library,4,2023-09-04
397,1st,CSE,Cafeteria,4,2023-07-22
398,1st,IT,Library,5,2023-03-20
399,1st,CE,Library,4,2023-10-27
400,4th,CSE,Sports,1,2023-07-13
401,3rd,ME,Sports,4,2023-11-27
402,1st,IT,Cafeteria,3,2023-10-19
403,1st,CSE,Cafeteria,2,2023-09-16
404,4th,IT,Cafeteria,2,2023-05-26
405,4th,ECE,Sports,5,2023-02-02
406,3rd,CE,Sports,1,2023-12-29
407,4th,ME,Cafeteria,2,2023-09-02
408,4th,ECE,Cafeteria,3,2023-07-20
409,2nd,IT,Cafeteria,5,2023-01-18
410,3rd,ME,Sports,5,2023-12-05
411,2nd,IT,Library,3,2023-09-14
412,4th,IT,Sports,4,2023-10-04
413,2nd,CSE,Library,2,2023-06-23
414,4th,CSE,Library,4,2023-02-27
415,1st,CE,Sports,5,2023-01-08
416,4th,ECE,Library,1,2023-02-08
417,4th,CE,Library,1,2023-02-21
418,2nd,IT,Cafeteria,3,2023-07-02
419,2nd,IT,Sports,1,2023-12-19
420,4th,ME,Sports,4,2023-09-19
421,4th,ME,Cafeteria,5,2023-11-29
422,4th,IT,Cafeteria,5,2023-10-24
423,4th,ME,Library,5,2023-09-03
424,2nd,IT,Cafeteria,5,2023-05-13
425,3rd,CE,Library,3,2023-11-03
426,1st,ME,Cafeteria,4,2023-03-08
427,2nd,ECE,Sports,3,2023-05-08
428,3rd,IT,Cafeteria,4,2023-11-27
429,3rd,IT,Library,5,2023-10-30
430,2nd,CSE,Sports,3,2023-12-25
431,4th,IT,Sports,1,2023-05-07
432,3rd,ECE,Library,5,2023-04-09
433,4th,CSE,Library,5,2023-05-27
434,4th,ME,Cafeteria,2,2023-10-13
435,2nd,CE,Cafeteria,4,2023-06-23
436,1st,CSE,Cafeteria,4,2023-08-12
437,1st,IT,Sports,3,2023-10-16
438,2nd,IT,Cafeteria,1,2023-06-22
439,1st,ME,Sports,5,2023-05-05
440,1st,CSE,Library,4,2023-01-12
441,2nd,IT,Cafeteria,5,2023-11-27
442,1st,CE,Cafeteria,5,2023-09-26
443,1st,ECE,Sports,1,2023-05-13
444,4th,IT,Cafeteria,1,2023-05-04
445,1st,IT,Library,4,2023-12-27
446,3rd,CE,Cafeteria,1,2023-09-02
447,4th,ECE,Library,3,2023-06-01
448,3rd,IT,Library,5,2023-03-29
449,4th,ECE,Cafeteria,4,2023-04-12
450,1st,CSE,Library,4,2023-01-11
451,4th,CSE,Library,3,2023-11-12
452,4th,CSE,Library,4,2023-04-20
453,3rd,ECE,Sports,5,2023-03-27
454,3rd,CE,Library,4,2023-08-15
455,2nd,ECE,Sports,5,2023-07-12
456,2nd,CE,Sports,3,2023-07-11
457,3rd,ME,Sports,4,2023-01-06
458,4th,IT,Sports,4,2023-10-26
459,3rd,ME,Library,3,2023-08-03
460,4th,CE,Sports,3,2023-11-28
461,2nd,CE,Sports,2,2023-10-25
462,4th,CSE,Library,2,2023-02-22
463,2nd,ECE,Sports,1,2023-07-14
464,4th,CSE,Library,4,2023-07-17
465,2nd,IT,Cafeteria,3,2023-11-20
466,3rd,IT,Library,4,2023-04-06
467,1st,ECE,Sports,5,2023-10-25
468,3rd,CE,Sports,4,2023-08-09
469,2nd,IT,Library,5,2023-12-26
470,1st,ECE,Library,2,2023-07-12
471,3rd,CE,Sports,1,2023-08-18
472,3rd,CSE,Cafeteria,1,2023-03-28
473,4th,IT,Library,5,2023-12-31
474,3rd,ME,Cafeteria,3,2023-11-25
475,4th,CE,Cafeteria,3,2023-12-16
476,2nd,ECE,Sports,1,2023-06-05
477,1st,IT,Sports,5,2023-03-07
478,2nd,ECE,Library,4,2023-06-16
479,2nd,IT,Sports,3,2023-10-26
480,3rd,CSE,Cafeteria,3,2023-10-03
481,4th,CE,Cafeteria,2,2023-11-14
482,4th,ECE,Sports,2,2023-04-24
483,3rd,ECE,Library,5,2023-02-01
484,4th,ECE,Cafeteria,4,2023-08-21
485,3rd,IT,Cafeteria,5,2023-11-11
486,1st,CSE,Library,2,2023-11-04
487,1st,CE,Cafeteria,2,2023-11-24
488,1st,CE,Sports,1,2023-12-25
489,1st,ECE,Cafeteria,3,2023-03-09
490,1st,ME,Library,5,2023-02-10
491,3rd,CSE,Library,2,2023-04-18
492,2nd,CSE,Sports,2,2023-11-25
493,2nd,CE,Library,2,2023-05-14
494,3rd,ECE,Library,3,2023-05-23
495,4th,ME,Sports,1,2023-10-02
496,4th,IT,Sports,5,2023-10-16
497,4th,IT,Sports,5,2023-02-17
498,4th,CE,Sports,5,2023-02-16
499,3rd,IT,Library,2,2023-11-25
500,4th,CSE,Sports,2,2023-09-26
